time,prey,predator
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,9,1
0,10,1
0,11,1
0,12,1
0,13,1
0,14,1
0,15,1
0,16,1
0,17,1
0,18,1
0,19,1
0,20,1
0,21,1
0,22,1
0,23,1
0,24,1
0,25,1
0,26,1
0,27,1
0,28,1
0,29,1
0,30,1
0,31,1
0,32,1
0,33,1
0,34,1
0,35,1
0,36,1
0,37,1
0,38,1
0,39,1
0,40,1
0,41,1
0,42,1
0,43,1
0,44,1
0,45,1
0,46,1
0,47,1
0,47,2
0,48,2
0,49,2
0,50,2
0,51,2
0,51,3
0,52,3
0,53,3
0,54,3
0,55,3
0,56,3
0,57,3
0,58,3
0,59,3
0,60,3
0,61,3
0,62,3
0,63,3
0,64,3
0,65,3
0,66,3
0,67,3
0,68,3
0,69,3
0,70,3
0,71,3
0,72,3
0,73,3
0,74,3
0,75,3
0,76,3
0,77,3
0,78,3
0,78,4
0,79,4
0,80,4
0,81,4
0,82,4
0,83,4
0,84,4
0,84,5
0,85,5
0,86,5
0,87,5
0,88,5
0,89,5
0,90,5
0,91,5
0,92,5
0,93,5
0,94,5
0,95,5
0,96,5
0,97,5
0,98,5
0,99,5
0,100,5
0,101,5
0,102,5
0,103,5
0,104,5
0,105,5
0,106,5
0,106,6
0,107,6
0,108,6
0,109,6
0,110,6
0,111,6
0,112,6
0,113,6
0,114,6
0,115,6
0,116,6
0,117,6
0,118,6
0,119,6
0,120,6
0,121,6
0,122,6
0,123,6
0,123,7
0,124,7
0,125,7
0,126,7
0,127,7
0,128,7
0,129,7
0,130,7
0,131,7
0,131,8
0,132,8
0,133,8
0,134,8
0,135,8
0,136,8
0,137,8
0,138,8
0,139,8
0,140,8
0,141,8
0,142,8
0,143,8
0,144,8
0,145,8
0,146,8
0,146,9
0,147,9
0,148,9
0,149,9
0,150,9
0,151,9
0,152,9
0,153,9
0,154,9
0,155,9
0,156,9
0,157,9
0,158,9
0,159,9
0,160,9
0,161,9
0,162,9
0,163,9
0,164,9
0,165,9
0,166,9
0,167,9
0,168,9
0,169,9
0,170,9
0,171,9
0,172,9
0,173,9
0,174,9
0,175,9
0,176,9
0,177,9
0,178,9
0,179,9
0,180,9
0,181,9
0,182,9
0,183,9
0,184,9
0,184,10
0,185,10
0,186,10
0,187,10
0,188,10
0,189,10
0,190,10
0,191,10
0,192,10
0,192,11
0,193,11
0,194,11
0,195,11
0,196,11
0,197,11
0,198,11
0,198,12
0,199,12
0,198,12
1,197,12
1,198,12
1,199,12
1,200,12
1,201,12
1,202,12
1,203,12
1,202,12
1,203,12
1,204,12
1,205,12
1,204,12
1,205,12
1,206,12
1,205,12
1,206,12
1,207,12
1,208,12
1,209,12
1,208,12
1,207,12
1,206,12
1,207,12
1,208,12
1,209,12
1,208,12
1,209,12
1,210,12
1,211,12
1,212,12
1,211,12
1,210,12
1,211,12
1,212,12
1,211,12
1,210,12
1,209,12
1,208,12
1,207,12
1,208,12
1,209,12
1,210,12
1,209,12
1,210,12
1,209,12
1,208,12
1,209,12
1,208,12
1,209,12
2,208,12
2,207,12
2,206,12
2,207,12
2,208,12
2,207,12
2,208,12
2,209,12
2,210,12
2,209,12
2,210,12
2,209,12
2,210,12
2,211,12
2,212,12
2,211,12
2,212,12
2,213,12
2,212,12
2,211,12
2,212,12
2,213,12
2,214,12
2,213,12
2,212,12
2,213,12
2,214,12
2,213,12
2,212,12
2,211,12
2,210,12
2,209,12
2,210,12
2,209,12
2,208,12
2,207,12
